id,folder,name,size,collection,client,instagram_url,caption,video_caption
1,Fine China,Fine China,S - Tanya Var.,Geometric Series,,https://www.instagram.com/p/DVB2wEVgB4w/,"🏺 Fine China nail set! This was the first set I ever made! 🏺\n\n💅 Short Almond, Size S\n\n#nails #nailsart #nailsnailsnails #nailsdesign #nails💅",
2,Mermaid Nails,Mermaid Nails,Custom,,Lena - received,,,
3,Vintage Manuscript,Vintage Manuscript,Custom,,Katrina - received,,,
4,Hungry Catterpillar,Hungry Catterpillar,S - Tanya Var.,,,,,"🐛 How I made my Hungry Caterpillar Nail Set! 🐛\n\nDid you know with a matte top coat on a light color you can use watercolor paints straight on the nail? That’s what I did here! One hand is fruits and one is misc foods the caterpillar ate.\n\nBonus: spot Alfie giving me a hand 🤭.\n\n💅 XShort Squoval, Size S"
5,Jeans,Jeans,S - Tanya Var.,,,https://www.instagram.com/reel/DVfBLC6AJQ7/,, "👖 Nails to match your Canadian tuxedo! 🇨🇦\n\nFun fact: the Jean texture here is a print of my fingerprint!\n\n💅 XShort Squoval, Size S"
6,Cirtus,Cirtus,S - Tanya Var.,,,https://www.instagram.com/p/DZyT3fqgIPV/,"🍋 When life gives you lemons….. wear them! 🍋💁‍♀️\n\nJust a fun juicy set for the summer!\n\n💅 Short Almond, Size S\n\n📷 @seanxiaf488\n\n#summervibes☀️ #citrus #nailart #nailartist #pressonnails",
7,Red Velvet,Red Velvet,S - Tanya Var.,,,https://www.instagram.com/p/DU7fwgegK9-/,"♥️ Velvet cabaret nails for Valentine’s Day! ♥️\n\n💅 Short Almond, Size S",
8,No,No,S - Tanya Var.,Winter Season,,https://www.instagram.com/p/DVEhCZpjr7j/,"👕 In honor of the snowstorm later today…. sweater nails! 👕\n\nThis set was really challenging as I was trying a lot of new techniques.\n\n💅 XShort Squoval, Size S",
9,Winter Ice,Winter Ice,S - Tanya Var.,Winter Season,,https://www.instagram.com/p/DU2SqOkABmB/,"❄️ Nails inspired by the recent snowstorms! ☃️\n\n💅 Short Almond, Size S",
10,Shadow Figures,Shadow Figures,S - Tanya Var.,Spooky Season,,,,
11,Bridgerton,Bridgerton,S - Tanya Var.,Media Inspired,,https://www.instagram.com/reel/DVP0M3pgP2h/,, "🐝 “Dearest gentle reader…” 🐝\n\nIn honor of S2 wrapping up, here is my rendition of the Bridgerton nails! Complete with Sophie’s mask and inspired by the version by the Pamper Nail Gallery.\n\n💅 Short Almond, Size S"
12,Secret Garden,Secret Garden,S - Tanya Var.,Media Inspired,,,,
13,Porcelain Statues,Porcelain Statues,S - Tanya Var.,Museum Feature,,,,
14,Love Letter,Love Letter,S - Tanya Var.,,,,,
15,In Full Bloom,In Bloom,S - Tanya Var.,Museum Feature,,https://www.instagram.com/p/Da_Xw6cFfqA/,"💐 “Florals? Groundbreaking” 💐 — Miranda Priestly\n\nThrowback to when this set was painted live at @mfaboston’s In Full Bloom event.\n\n💅 Short Almond, Size S\n\n📸 @seanxiaf488",
16,Peterson Museum,Petersen Cars,S - Tanya Var.,Museum Feature,,https://www.instagram.com/p/DZokp3IAOrk/,"🚙 A nail set for the journey 🚗\n\nWhile visiting the @petersenmuseum, I painted this nail set on site!\n\n💅 Short Coffin, Size S\n\n📷 @seanxiaf488",
17,Herrington Gardens,Herrington Gardens,S - Tanya Var.,,,, "Nails painted on-site at the beautiful @herrigntongardens. What better way to enjoy a botanical garden visit than to memorialize it on nails for later?\n\n💅 Short Coffin, Size S",
18,Maine,Maine,S - Tanya Var.,,,,,
19,Groovy Waves,Groovy Waves,M,,,,,
20,Monet Lillies,Money Lillies,S,Artist Feature,,,,
21,Japanese Art,Japanese Art,S,Museum Feature,,,,
22,Tennis,Tennis,M - Mama,,,, "🎾 Serving a fresh set for the US Open 🎾\n\n💅 XShort Oval, Size S\n\n📷 @seanxiaf488",
23,Tiger in Lillypads,Tiger in Lillypads,Keychain,,Annette - received,, "A custom keychain for @annetteychan’s birthday! She requested a tiger theme for her zodiac.\n\nThe nail keychain features an NFC chip within the layers of gel, allowing it to link to a song or website.",
24,Everdell,Everdell,S - Tanya Var.,Media Inspired,,,,
25,Dave the Diver,Dave the Diver,Custom,Media Inspired,Shengnan - received,, "A custom set for @shengnan! As an avid @DavetheDiver player, she requested a set themed around this fishing and cooking game.\n\nFeaturing some heat-reactive glitter, this set is perfect for summer!",
26,Dinosaurs at ROM,Dinosaurs at ROM,S,Museum Feature,,,,
27,Matcha Coffee,Matcha Coffee,M,,,,,
28,Malachite,Malachite,S,,,,,
