date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:14:15	304/304	U-----	200	untouched ('OK')	text/plain	etag:W/%22212-VwnT5CGbzGHN0G6hj4G25JwQRrI%22	https://www.testrina.com/robots.txt		(from )
09:14:15	366932/366932	U-----	200	untouched ('OK')	text/html	etag:W/%22b24e7ec5c7fafad09ad62b711f4779f0%22	https://www.testrina.com/	C:/My%20Web%20Sites/Portoflio/www.testrina.com/index.html	(from )
09:14:15	12613/12613	U-----	200	untouched ('')	image/jpeg	date:Thu,%2006%20Mar%202025%2021:28:14%20GMT	https://static.wixstatic.com/media/4c2a10_f6824dc81fa847399433729652064bbc~mv2.jpg/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/4c2a10_f6824dc81fa847399433729652064bbc~mv2.jpg	C:/My%20Web%20Sites/Portoflio/static.wixstatic.com/media/4c2a10_f6824dc81fa847399433729652064bbc_mv2.jpg/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/4c2a10_f6824dc81fa847399433729652064bbc_mv2.jpg	(from https://www.testrina.com/)
09:14:16	1310/1310	U-----	200	untouched ('')	image/jpeg	date:Thu,%2006%20Mar%202025%2021:28:14%20GMT	https://static.wixstatic.com/media/4c2a10_f6824dc81fa847399433729652064bbc~mv2.jpg/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/4c2a10_f6824dc81fa847399433729652064bbc~mv2.jpg	C:/My%20Web%20Sites/Portoflio/static.wixstatic.com/media/4c2a10_f6824dc81fa847399433729652064bbc_mv2.jpg/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/4c2a10_f6824dc81fa847399433729652064bbc_mv2.jpg	(from https://www.testrina.com/)
09:14:16	11623/11623	U-----	200	untouched ('')	image/jpeg	date:Thu,%2006%20Mar%202025%2021:28:14%20GMT	https://static.wixstatic.com/media/4c2a10_f6824dc81fa847399433729652064bbc~mv2.jpg/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/4c2a10_f6824dc81fa847399433729652064bbc~mv2.jpg	C:/My%20Web%20Sites/Portoflio/static.wixstatic.com/media/4c2a10_f6824dc81fa847399433729652064bbc_mv2.jpg/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/4c2a10_f6824dc81fa847399433729652064bbc_mv2.jpg	(from https://www.testrina.com/)
09:14:16	2486/2486	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Mar%202025%2013:14:16%20GMT	https://www.testrina.com/s	C:/My%20Web%20Sites/Portoflio/www.testrina.com/s.5.delayed	(from https://www.testrina.com/)
09:14:16	137771/137771	U-----	200	untouched ('')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/Portoflio/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.testrina.com/)
09:14:16	1171/1171	U-----	200	untouched ('')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/Portoflio/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.testrina.com/)
09:14:16	2486/2486	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2010%20Mar%202025%2013:14:17%20GMT	https://www.testrina.com/t	C:/My%20Web%20Sites/Portoflio/www.testrina.com/t.6.delayed	(from https://www.testrina.com/)
09:14:16	458381/458381	U-----	200	untouched ('OK')	text/html	etag:W/%22a0013b48048ba8ef3173d0af537bf673%22	https://www.testrina.com/projects-1	C:/My%20Web%20Sites/Portoflio/www.testrina.com/projects-1.html	(from https://www.testrina.com/)
