date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:03:18	304/304	U-----	200	untouched ('OK')	text/plain	etag:W/%22212-VwnT5CGbzGHN0G6hj4G25JwQRrI%22	https://www.testrina.com/robots.txt		(from )
17:03:18	366932/366932	U-----	200	untouched ('OK')	text/html	etag:W/%22b24e7ec5c7fafad09ad62b711f4779f0%22	https://www.testrina.com/	C:/My%20Web%20Sites/Portoflio/www.testrina.com/index.html	(from )
17:03:18	2486/2486	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2022:03:18%20GMT	https://www.testrina.com/s	C:/My%20Web%20Sites/Portoflio/www.testrina.com/s.5.delayed	(from https://www.testrina.com/)
17:03:18	1310/1310	U-----	200	untouched ('')	image/jpeg	date:Thu,%2006%20Mar%202025%2021:28:14%20GMT	https://static.wixstatic.com/media/4c2a10_f6824dc81fa847399433729652064bbc~mv2.jpg/v1/fill/w_32%2Ch_32%2Clg_1%2Cusm_0.66_1.00_0.01/4c2a10_f6824dc81fa847399433729652064bbc~mv2.jpg	C:/My%20Web%20Sites/Portoflio/static.wixstatic.com/media/4c2a10_f6824dc81fa847399433729652064bbc_mv2.jpg/v1/fill/w_32,h_32,lg_1,usm_0.66_1.00_0.01/4c2a10_f6824dc81fa847399433729652064bbc_mv2.jpg	(from https://www.testrina.com/)
17:03:18	11623/11623	U-----	200	untouched ('')	image/jpeg	date:Thu,%2006%20Mar%202025%2021:28:14%20GMT	https://static.wixstatic.com/media/4c2a10_f6824dc81fa847399433729652064bbc~mv2.jpg/v1/fill/w_180%2Ch_180%2Clg_1%2Cusm_0.66_1.00_0.01/4c2a10_f6824dc81fa847399433729652064bbc~mv2.jpg	C:/My%20Web%20Sites/Portoflio/static.wixstatic.com/media/4c2a10_f6824dc81fa847399433729652064bbc_mv2.jpg/v1/fill/w_180,h_180,lg_1,usm_0.66_1.00_0.01/4c2a10_f6824dc81fa847399433729652064bbc_mv2.jpg	(from https://www.testrina.com/)
17:03:18	12613/12613	U-----	200	untouched ('')	image/jpeg	date:Thu,%2006%20Mar%202025%2021:28:14%20GMT	https://static.wixstatic.com/media/4c2a10_f6824dc81fa847399433729652064bbc~mv2.jpg/v1/fill/w_192%2Ch_192%2Clg_1%2Cusm_0.66_1.00_0.01/4c2a10_f6824dc81fa847399433729652064bbc~mv2.jpg	C:/My%20Web%20Sites/Portoflio/static.wixstatic.com/media/4c2a10_f6824dc81fa847399433729652064bbc_mv2.jpg/v1/fill/w_192,h_192,lg_1,usm_0.66_1.00_0.01/4c2a10_f6824dc81fa847399433729652064bbc_mv2.jpg	(from https://www.testrina.com/)
17:03:19	2487/2487	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2022:03:18%20GMT	https://www.testrina.com/t	C:/My%20Web%20Sites/Portoflio/www.testrina.com/t.6.delayed	(from https://www.testrina.com/)
17:03:19	137771/137771	U-----	200	untouched ('')	application/javascript	etag:W/%2218eb21e8d1074fd7a594d3748ba0cb33%22	https://static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	C:/My%20Web%20Sites/Portoflio/static.parastorage.com/unpkg/core-js-bundle@3.2.1/minified.js	(from https://www.testrina.com/)
17:03:19	1171/1171	U-----	200	untouched ('')	application/javascript	etag:W/%22c187011c9a45c15a6fcbf5d62a5d755f%22	https://static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	C:/My%20Web%20Sites/Portoflio/static.parastorage.com/unpkg/focus-within-polyfill@5.0.9/dist/focus-within-polyfill.js	(from https://www.testrina.com/)
17:03:19	2486/2486	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2006%20Mar%202025%2022:03:19%20GMT	https://www.testrina.com/feed.xml	C:/My%20Web%20Sites/Portoflio/www.testrina.com/feed.e.delayed	(from https://www.testrina.com/)
17:03:19	627536/627536	U-----	200	untouched ('OK')	text/html	etag:W/%22fe8da58acbbcee5b7a79c578feb8f52d%22	https://www.testrina.com/work	C:/My%20Web%20Sites/Portoflio/www.testrina.com/work.html	(from https://www.testrina.com/)
17:03:19	474273/474273	U-----	200	untouched ('OK')	text/html	etag:W/%22f560a25694d8052dc16f7f094b7c9b9d%22	https://www.testrina.com/about	C:/My%20Web%20Sites/Portoflio/www.testrina.com/about.html	(from https://www.testrina.com/)
17:03:19	458381/458381	U-----	200	untouched ('OK')	text/html	etag:W/%22a0013b48048ba8ef3173d0af537bf673%22	https://www.testrina.com/projects-1	C:/My%20Web%20Sites/Portoflio/www.testrina.com/projects-1.html	(from https://www.testrina.com/)
17:03:19	424289/424289	U-----	200	untouched ('OK')	text/html	etag:W/%22f1b45179f33e336e0a48a35712f37e06%22	https://www.testrina.com/copy-of-spatial	C:/My%20Web%20Sites/Portoflio/www.testrina.com/copy-of-spatial.html	(from https://www.testrina.com/)
17:03:19	65254/65254	U-----	200	untouched ('')	application/javascript	etag:%225b6773578af8dd5591339930c2b29024%22	https://browser.sentry-cdn.com/6.18.2/bundle.min.js	C:/My%20Web%20Sites/Portoflio/browser.sentry-cdn.com/6.18.2/bundle.min.js	(from https://www.testrina.com/)
17:03:19	2483/2483	---MCZ	400	error ('Bad%20Request')	text/html	date:Thu,%2006%20Mar%202025%2022:03:19%20GMT	https://www.testrina.com/decodeURIComponent(e	C:/My%20Web%20Sites/Portoflio/www.testrina.com/decodeURIComponent(e.16.delayed	(from https://www.testrina.com/)
17:03:19	427403/427403	U-----	200	untouched ('OK')	text/html	etag:W/%222bbab8a753f75b77db869d53d09f5be9%22	https://www.testrina.com/copy-of-projects	C:/My%20Web%20Sites/Portoflio/www.testrina.com/copy-of-projects.html	(from https://www.testrina.com/)
17:03:57	152/152	U-----	200	untouched ('')	application/javascript	etag:%2217dc6142a5674dc31c4e4ac8ab3502fc%22	https://static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.a20626f8.bundle.min.js	C:/My%20Web%20Sites/Portoflio/static.parastorage.com/services/wix-thunderbolt/dist/main.renderer.a20626f8.bundle.min.js	(from https://www.testrina.com/)
