Address,Lat,Lon,Flood_Zone,nine,twentyone,thirtysix,Reclaimed,Flipped,Price,Price_Diff,Proptype,Year_Built,Times_Sold,Year_Sold
1 Federal St,42.356845,-71.056711,0,0,0,1,0,0,440500000,147000000,Condominium,1976,2,2006
2 Commonwealth Ave,42.353354,-71.071403,0,0,0,0,1,0,181059500,29881000,Condominium,0,2,2018
200 State St,42.359671,-71.051788,1,1,1,1,1,0,156933500,0,Condominium,0,3,2018
265 Franklin St,42.356729,-71.053346,0,0,0,0,0,0,133504500,72991000,Condominium,1983,2,2006
161 S Huntington Ave,42.327696,-71.110766,0,0,0,0,0,0,103250000,0,Apartment,1980,1,2017
30 Garrison St,42.345948,-71.079468,0,0,0,1,1,0,94175000,7650000,Apartment,0,2,2010
17-23 Riverdale St,42.362968,-71.132456,0,0,0,0,0,0,93119500,176964000,Apartment,1915,2,2018
256 Western Ave,42.363206,-71.132478,0,0,0,0,0,0,91113000,180976000,Single-Family,1930,2,2018
32 Garrison St,42.345942,-71.079459,0,0,0,1,1,0,90350000,0,Apartment,1990,1,2007
254-R Western Ave,42.36319,-71.132399,0,0,0,0,0,0,62096500,90776000,Single-Family,1920,3,2018
201 Newbury St #RC,42.350246,-71.080415,0,0,0,0,1,0,58812500,32375000,Condominium,0,2,2017
650-R Columbus Ave,42.338584,-71.0841,0,0,0,1,1,0,52000000,0,Apartment,1989,1,2013
65-95 Morton Village Dr,42.280665,-71.085013,0,0,0,0,0,0,41100000,0,Apartment,0,1,2020
441 Stuart St #RES,42.34861,-71.075612,0,0,0,0,1,0,40000000,0,Condominium,1927,1,2012
1000 Washington St,42.27739,-71.069464,0,0,0,0,0,0,37650000,0,Single-Family,1958,2,2019
1 Dalton St #6102,42.345267,-71.084125,0,0,0,0,1,0,34000000,0,Condominium,2015,1,2020
84 Sutherland Rd,42.339395,-71.148958,0,0,0,0,0,0,32500000,0,Apartment,1930,1,2018
132-136 Hemenway St,42.342337,-71.090273,0,0,0,0,0,0,32000000,0,Apartment,1899,1,2004
1 Dalton St #5801,42.345267,-71.084125,0,0,0,0,1,0,31000000,0,Condominium,2015,1,2020
1 Dalton St #5802,42.345267,-71.084125,0,0,0,0,1,0,31000000,0,Condominium,2015,1,2020
135-137 Homestead St,42.31096,-71.088767,0,0,0,0,0,0,30523500,0,Apartment,1910,2,2020
423-435 E 8th St,42.33121,-71.044037,0,0,0,0,1,0,28100000,0,Apartment,1972,1,2006
776 Boylston St #PH1E,42.348809,-71.081814,0,0,0,0,1,0,27250000,0,Condominium,2008,1,2021
776 Boylston St #PH2A,42.348809,-71.081814,0,0,0,0,1,0,27250000,0,Condominium,2008,1,2021
16-20 Westland Ave,42.343298,-71.086532,0,0,0,0,0,0,24000000,0,Apartment,1910,1,2020
501-509 Washington St,42.354328,-71.061581,0,0,0,0,0,0,23500000,0,Condominium,1904,1,2007
75 Brainerd Rd,42.347146,-71.134374,0,0,0,0,0,0,23250000,41500000,Apartment,2013,2,2012
5-11 Barrows St,42.35319,-71.138456,0,0,0,0,0,0,22500000,0,Apartment,1910,1,2011
